"","Annualized Return","Annualized Std Dev","Annualized Sharpe (Rf=30.48%)","rho1","rho2","rho3","rho4","rho5","rho6","Q(6) p-value","daily  Std Dev","Skewness","Kurtosis","Excess kurtosis","Sample skewness","Sample excess kurtosis","Semi Deviation","Gain Deviation","Loss Deviation","Downside Deviation (MAR=40%)","Downside Deviation (Rf=30.48%)","Downside Deviation (0%)","Maximum Drawdown","Historical VaR (95%)","Historical ES (95%)","Modified VaR (95%)","Modified ES (95%)","daily downside risk","Annualised downside risk","Downside potential","Omega","Sortino ratio","Upside potential","Upside potential ratio","Omega-sharpe ratio","Sterling ratio","Calmar ratio","Burke ratio","Pain index","Ulcer index","Pain ratio","Martin ratio","Minimum","Quartile 1","Median","Arithmetic Mean","Geometric Mean","Quartile 3","Maximum","SE Mean","LCL Mean (0.95)","UCL Mean (0.95)","StdDev Sharpe (Rf=0.1%, p=95%):","VaR Sharpe (Rf=0.1%, p=95%):","ES Sharpe (Rf=0.1%, p=95%):","Alpha","Beta","Beta+","Beta-","R-squared","Annualized Alpha","Correlation","Correlation p-value","Tracking Error","Active Premium","Information Ratio","Treynor Ratio","Beta CoVariance","Beta CoSkewness","Beta CoKurtosis","Specific Risk","Systematic Risk","Total Risk","Up Capture","Down Capture","Up Number","Down Number","Up Percent","Down Percent","Direction"
"2014//1",-0.0881,0.1967,-1.9978,0.0497,-0.037,0.0187,-0.2025,0.164,-0.085,0.4764,0.0124,-0.5765,5.5619,2.5619,-0.605,2.8791,0.0093,0.0078,0.0106,0.0102,0.01,0.0094,0.1237,-0.0203,-0.03,-0.0219,-0.0351,0.0102,0.162,0.0052,0.6271,-0.1898,0.0033,0.7372,-0.3729,-0.4546,-0.822,-0.9872,0.0611,0.0684,-1.6905,-1.511,-0.0442,-0.0054,0,-3e-04,-4e-04,0.0055,0.0353,0.0016,-0.0035,0.0028,-0.125852049956196,-0.0713023463121835,-0.0444107040029674,-0.0016,0.0064,0.0065,-0.1284,1e-04,-0.324,0.0085,0.9472,0.3273,-0.1171,-0.3577,-53.1309,0.0064,0.9171,-0.1094,0.1951,0.0017,0.1951,0.2073,0.3186,0.4242,0.3667,0.303,0.7,"Up"
"2014//2",0.4408,0.1697,0.8018,-0.0168,0.0028,0.1138,-0.0819,0.0203,0.1234,0.8772,0.0107,-0.7739,6.1557,3.1557,-0.8135,3.5357,0.0079,0.0065,0.0098,0.0078,0.0076,0.0071,0.07,-0.0151,-0.0255,-0.0172,-0.0304,0.0078,0.1239,0.0036,1.0449,0.0208,0.0038,0.9062,0.0449,3.1267,7.5933,8.5624,0.0169,0.0286,31.2882,18.5039,-0.0408,0,0,0.0017,0.0017,0.0054,0.0258,0.0014,-0.001,0.0045,0.05051119311672,0.0313441369455857,0.017770041008452,0.0015,0.6966,1.1646,-0.0515,0.0669,0.4656,0.2587,0.0441,0.165,0.5813,3.523,0.1859,0.6966,-33.2971,0.8068,0.1625,0.0439,0.1684,1.5179,0.3212,0.5,0.3448,0.4688,0.6897,"Up"
"2014//3",0.5215,0.2128,1.0184,0.3095,-0.219,-0.2692,-0.1846,-0.1827,-0.0855,0.0024,0.0134,-0.4749,6.9516,3.9516,-0.4976,4.3716,0.0097,0.0087,0.0114,0.0095,0.0093,0.0088,0.0855,-0.017,-0.0281,-0.0205,-0.0374,0.0095,0.1507,0.0043,1.111,0.0508,0.0048,0.9844,0.111,3.4856,7.5638,6.2588,0.0191,0.0277,33.7412,23.2596,-0.0517,0,0,0.0021,0.002,0.0089,0.0446,0.0017,-0.0013,0.0054,0.064154139206821,0.0419757767174881,0.0229715670285427,9e-04,0.8472,0.8076,0.5384,0.1169,0.2604,0.3419,0.0053,0.2004,0.3187,1.5907,0.253,0.8472,1.01,0.7254,0.1984,0.0727,0.2113,1.2349,0.7702,0.475,0.36,0.425,0.64,"Down"
"2014//4",-0.0398,0.2492,-1.383,0.2025,0.0455,-0.1791,-0.1919,-0.1523,-0.0836,0.1429,0.0157,-0.912,6.7489,3.7489,-0.9578,4.1731,0.0121,0.0086,0.0141,0.0129,0.0127,0.0122,0.1176,-0.025,-0.0395,-0.0284,-0.05,0.0129,0.2049,0.0062,0.7185,-0.1352,0.0045,0.698,-0.2815,-0.3136,-0.5801,-0.5318,0.0407,0.0523,-1.7175,-1.3358,-0.0625,-0.0085,0,-2e-04,-3e-04,0.0087,0.0455,0.002,-0.0041,0.0038,-0.0871200842843142,-0.0481804622518014,-0.0273729280365141,-1e-04,0.7954,1.5473,1.254,0.1493,-0.0186,0.3864,0.0019,0.2312,0.0378,0.1635,-0.3939,0.7954,1.8421,1.2494,0.228,0.0963,0.2475,0.4001,0.3971,0.4643,0.3438,0.4286,0.6875,"Up"
"2015//1",0.2487,0.1444,-0.3883,-0.1473,-0.1776,0.1231,0.0435,-0.1747,-0.0762,0.2951,0.0091,0.4575,2.871,-0.129,0.4802,-0.0382,0.0059,0.0053,0.0027,0.0063,0.006,0.0053,0.0333,-0.0087,-0.0129,-0.0127,-0.0151,0.0063,0.0993,0.0039,0.8462,-0.096,0.0033,1.3748,-0.1538,2.0188,8.0753,5.0534,0.0087,0.0119,30.7522,22.4892,-0.0169,-0.0084,0,0.001,9e-04,0.0084,0.0261,0.0011,-0.0013,0.0033,-0.0244637192339629,-0.0175627074048157,-0.0147049795007201,2e-04,0.5258,1.6614,0.7889,0.0562,0.0492,0.2371,0.0613,0.1437,0.1589,1.1058,-0.1221,0.5258,-2.3329,0.7909,0.1392,0.0342,0.1433,0.6207,0.0931,0.3784,0.3077,0.3514,0.6923,"Down"
"2015//2",-0.3729,0.2044,-3.3146,0.2577,-0.2494,-0.0075,0.1349,-0.0077,-0.213,0.0479,0.0129,0.0884,3.7683,0.7683,0.0929,0.9404,0.0089,0.008,0.0079,0.0106,0.0104,0.0097,0.1538,-0.0242,-0.0291,-0.022,-0.0283,0.0106,0.1682,0.0065,0.5272,-0.2894,0.0034,1.0566,-0.4728,-1.2822,-2.1156,-2.9594,0.0766,0.0926,-4.267,-3.5325,-0.0339,-0.0086,0,-0.0015,-0.0016,0.0078,0.0339,0.0016,-0.0048,0.0018,-0.208798152919464,-0.122407628388473,-0.0950319701724345,-0.0025,0.09,-0.5491,0.3005,0.001,-0.4654,0.0312,0.8114,0.2143,-0.0824,-0.3847,-5.587,0.09,-1.0373,-0.1783,0.2027,0.0064,0.2028,-0.8803,0.1734,0.1739,0.3421,0.1739,0.6842,"Down"
"2015//3",-0.5643,0.2684,-3.2382,0.2989,0.0286,-0.173,-0.031,0.0672,0.06,0.1721,0.0169,1.1191,7.0255,4.0255,1.1718,4.4447,0.0105,0.0151,0.0085,0.0128,0.0126,0.0118,0.2321,-0.0245,-0.0329,-0.0227,-0.0251,0.0128,0.2033,0.0083,0.5405,-0.2987,0.0045,0.9679,-0.4595,-1.3587,-1.944,-2.0793,0.1271,0.1494,-3.563,-3.0313,-0.0408,-0.0108,-0.0026,-0.0022,-0.0024,0.0054,0.0707,0.0021,-0.0064,0.0019,-0.203985715192927,-0.151647433538105,-0.137568899027378,-2e-04,0.9021,1.3679,0.8814,0.1823,-0.044,0.4269,4e-04,0.243,0.0094,0.0387,-0.6605,0.9021,2.0376,0.9024,0.2409,0.1146,0.2667,0.7664,0.8546,0.4762,0.5778,0.381,0.5333,"Up"
"2015//4",-0.2366,0.3213,-1.6848,0.1603,-0.0817,-0.1609,-0.0562,-0.0257,-0.0973,0.5624,0.0202,1.5324,9.6727,6.6727,1.6081,7.3358,0.0122,0.0203,0.0111,0.0136,0.0134,0.0127,0.1755,-0.0312,-0.0385,-0.0216,-0.0276,0.0136,0.2166,0.0081,0.6873,-0.1851,0.0056,0.9968,-0.3127,-0.9045,-1.4197,-1.6784,0.1253,0.1301,-2.0023,-1.9282,-0.0473,-0.012,0,-9e-04,-0.0011,0.0063,0.0938,0.0026,-0.006,0.0042,-0.106134669379842,-0.0993145505494394,-0.0778043684606044,-2e-04,1.1644,4.5169,1.8772,0.15,-0.0416,0.3873,0.0017,0.2968,-0.1279,-0.431,-0.3837,1.1644,1.2506,1.7566,0.2939,0.1245,0.3191,0.7172,0.9202,0.3333,0.5152,0.2667,0.5758,"Up"
"2016//1",-0.1979,0.1838,-2.7354,0.2125,-0.0393,-0.0107,0.1155,0.1725,0.0451,0.404,0.0116,0.1404,4.217,1.217,0.1475,1.4245,0.008,0.0085,0.0079,0.0093,0.009,0.0084,0.1429,-0.0231,-0.0263,-0.0189,-0.0249,0.0093,0.1469,0.0054,0.5601,-0.2564,0.003,1.0141,-0.4399,-0.7953,-1.3519,-2.0909,0.0829,0.0896,-2.3483,-2.1733,-0.0305,-0.0063,0,-8e-04,-9e-04,0.0061,0.0316,0.0015,-0.0037,0.0022,-0.172314359713635,-0.10538761448227,-0.0802256196563776,-9e-04,0.7954,1.8428,0.7979,0.1716,-0.1948,0.4143,8e-04,0.1684,-0.1354,-0.8042,-0.5097,0.7954,-3.812,1.0801,0.1659,0.0761,0.1825,0.557,0.8295,0.3871,0.5484,0.3548,0.5806,"Down"
"2016//2",-0.8069,0.1932,-5.7528,0.0529,-0.0667,0.1441,0.1358,-0.0902,-0.0052,0.7095,0.0122,-0.8951,7.266,4.266,-0.9393,4.7267,0.0091,0.0065,0.0096,0.0117,0.0115,0.0108,0.2105,-0.0145,-0.0314,-0.0249,-0.0431,0.0117,0.186,0.0071,0.3302,-0.4087,0.0024,0.6379,-0.6698,-1.8117,-2.6722,-4.6669,0.0818,0.1129,-6.8974,-4.9968,-0.0542,-0.0073,-0.0058,-0.0032,-0.0033,0.0059,0.0309,0.0015,-0.0063,-1e-04,-0.362389596604414,-0.177047150541431,-0.102382744494264,-0.0037,0.2567,-0.4261,0.2703,0.0133,-0.611,0.1154,0.3678,0.2025,-0.2612,-1.2898,-2.6409,0.2567,0.8021,0.2273,0.1904,0.0223,0.1917,-0.8716,0.6265,0.2414,0.5882,0.2069,0.5,"Up"
"2016//3",-0.632,0.4517,-2.0739,0.2751,-0.1255,-0.2506,-0.1023,0.1657,-0.0471,0.0377,0.0285,-0.7473,7.3953,4.3953,-0.7836,4.859,0.0216,0.0219,0.028,0.0233,0.0232,0.0226,0.2741,-0.0437,-0.0804,-0.0521,-0.0944,0.0233,0.3703,0.0104,0.6064,-0.1755,0.0063,0.7177,-0.3936,-1.392,-1.8999,-1.7813,0.1108,0.1452,-4.7154,-3.5961,-0.1,-0.0078,0,-0.0025,-0.0029,0.0078,0.0882,0.0036,-0.0096,0.0046,-0.130644155194306,-0.0712954342334746,-0.0393988403338884,0.0028,2.2041,4.9497,2.4703,0.5492,1.0358,0.7411,0,0.3541,-0.1551,-0.4379,-0.2936,2.2041,2.2884,2.3707,0.3009,0.3347,0.4501,0.9971,1.1842,0.44,0.4615,0.4,0.5897,"Up"
"2016//4",0.1301,0.2064,-0.8463,0.1961,0.0406,0.0201,0.0693,0.0995,-0.0489,0.7082,0.013,0.5025,5.3749,2.3749,0.5282,2.687,0.0086,0.0109,0.0082,0.0092,0.009,0.0084,0.0894,-0.0177,-0.0261,-0.0182,-0.0224,0.0092,0.1454,0.0049,0.783,-0.1169,0.0039,1.2007,-0.217,0.6091,1.2902,1.2315,0.0485,0.0583,2.348,1.9533,-0.0345,-0.0081,0,5e-04,4e-04,0.0087,0.0446,0.0017,-0.0028,0.0038,-0.0533117662640077,-0.0381423743736368,-0.0309275927084381,0.001,1.1404,1.3536,0.7486,0.2037,0.2873,0.4513,3e-04,0.1846,0.186,1.0078,-0.1558,1.1404,1.8558,1.6375,0.1827,0.0932,0.2051,1.1166,0.7245,0.44,0.3056,0.4,0.6944,"Up"
"2017//1",0.7998,0.3276,1.5112,0.565,0.1278,-0.0139,0.0155,-0.0373,-0.0571,8e-04,0.0206,0.3922,2.8408,-0.1592,0.4112,-0.0725,0.0135,0.0139,0.009,0.0126,0.0123,0.0117,0.2137,-0.0278,-0.0338,-0.0282,-0.034,0.0126,0.1995,0.0073,1.2184,0.1263,0.0089,1.2694,0.2184,3.5362,5.1912,6.2648,0.0922,0.1155,12.0195,9.5928,-0.04,-0.0099,0,0.0032,0.003,0.0159,0.0556,0.0026,-0.002,0.0083,0.0951960970574192,0.0695948730948183,0.0577182914014872,0.0038,1.1789,-0.8375,1.7438,0.1548,1.5965,0.3934,0.0013,0.3018,1.1972,3.9672,0.4717,1.1789,6.6772,0.8759,0.2988,0.1289,0.3254,2.0394,0.7637,0.5758,0.5161,0.5758,0.5484,"Down"
"2017//2",0.3949,0.3057,0.2948,0.022,0.0683,-0.0599,0.1233,0.0561,0.068,0.9097,0.0193,-1.5967,8.9818,5.9818,-1.6797,6.6191,0.0153,0.0091,0.0186,0.0153,0.0152,0.0147,0.1166,-0.0251,-0.0486,-0.0353,-0.0686,0.0153,0.2433,0.0067,0.997,-0.0013,0.0067,0.6174,-0.003,1.9206,3.5682,2.7668,0.0418,0.0533,9.9172,7.777,-0.0876,-0.0068,0.0031,0.0016,0.0014,0.0129,0.0342,0.0025,-0.0034,0.0065,0.0185678259163929,0.0101320322752811,0.00520971525553403,-8e-04,0.9004,0.5068,0.365,0.0615,-0.1789,0.2479,0.0562,0.2962,-0.442,-1.4921,0.049,0.9004,1.0285,1.0329,0.2936,0.0758,0.3033,0.9913,1.9116,0.6,0.3684,0.55,0.6316,"Down"
"2017//3",0.35,0.2229,0.2025,0.3267,-0.0638,-0.0453,0.002,-8e-04,0.0329,0.2645,0.014,-0.5161,5.8085,2.8085,-0.5412,3.1409,0.0102,0.0094,0.0119,0.0103,0.0101,0.0096,0.0989,-0.0175,-0.0319,-0.0227,-0.0381,0.0103,0.1633,0.0049,0.9593,-0.0193,0.0047,0.8627,-0.0407,1.932,3.8856,3.4652,0.0297,0.0454,12.8899,8.4337,-0.0514,-0.0059,0,0.0014,0.0013,0.0063,0.0402,0.0018,-0.0021,0.0049,0.0127585332648472,0.00788818691517509,0.00469788758512912,8e-04,1.0496,1.2339,1.1123,0.4624,0.2117,0.68,0,0.1636,0.2173,1.3281,0.0198,1.0496,0.9077,1.0828,0.1622,0.1516,0.222,1.0854,0.8591,0.5714,0.5172,0.5143,0.5862,"Down"
"2017//4",0.2075,0.2303,-0.4227,0.4594,0.0317,-0.0962,0.1233,0.1382,-0.2159,0.0044,0.0145,0.9861,4.3108,1.3108,1.0393,1.5423,0.0086,0.0126,0.0058,0.0091,0.0088,0.0081,0.1098,-0.0141,-0.0227,-0.0182,-0.0231,0.0091,0.1442,0.0058,0.8683,-0.0841,0.005,1.2238,-0.1317,0.9494,1.8144,1.4835,0.0407,0.0514,4.859,3.8459,-0.0321,-0.0066,0,8e-04,7e-04,0.0061,0.0446,0.0019,-0.003,0.0046,-0.0266277869432007,-0.0212742821017089,-0.0167343535674861,0.0013,1.2051,1.3845,0.6919,0.2727,0.3762,0.5222,0,0.1974,0.2441,1.2364,-0.0962,1.2051,1.7838,1.2903,0.1947,0.1203,0.2288,1.4792,1.0332,0.5417,0.5,0.5,0.5588,"Up"
"2018//1",0.8026,0.19,2.6201,0.0284,-0.0476,0.0724,-0.1478,-0.0581,-0.1124,0.78,0.012,-1.0519,5.2772,2.2772,-1.1039,2.5705,0.0093,0.0059,0.0111,0.0086,0.0085,0.008,0.0497,-0.0194,-0.0285,-0.0191,-0.0304,0.0086,0.1369,0.0037,1.4377,0.1852,0.0052,0.7649,0.4377,7.9421,23.9145,15.8924,0.0099,0.0156,119.5806,76.0098,-0.0385,0,0.0055,0.0032,0.0031,0.0108,0.0272,0.0015,2e-04,0.0062,0.165052767192573,0.103413858293768,0.0650406451180465,0.0027,1.1614,1.0479,1.9716,0.173,0.9821,0.4159,7e-04,0.1731,1.0374,5.9925,0.5297,1.1614,-20.6623,1.4208,0.1714,0.079,0.1887,1.5056,-0.1016,0.6176,0.3448,0.6176,0.6897,"Down"
"2018//2",-0.4621,0.2085,-3.6783,0.2955,0.2504,-0.0553,-0.0238,-0.2277,-0.2169,0.0102,0.0131,-0.7148,4.2721,1.2721,-0.7513,1.4881,0.0101,0.0058,0.0102,0.0118,0.0116,0.011,0.1528,-0.0192,-0.0365,-0.0254,-0.0355,0.0118,0.1881,0.0067,0.4886,-0.2888,0.0033,0.6116,-0.5114,-1.5181,-2.5118,-2.711,0.0849,0.0972,-4.541,-3.9625,-0.045,-0.0102,0,-0.0018,-0.0019,0.0094,0.027,0.0017,-0.0052,0.0015,-0.231708376195676,-0.119593845799316,-0.0857758567347472,-0.0013,0.4587,1.2868,-0.1623,0.0391,-0.2821,0.1978,0.1266,0.2101,0.0941,0.4477,-1.1904,0.4587,2.7363,0.6231,0.2027,0.0412,0.2068,0.2849,0.5681,0.4211,0.4286,0.4211,0.6667,"Down"
"2018//3",-0.546,0.2257,-3.7702,0.2207,0.1052,-0.0804,-0.0371,0.056,0.1721,0.3256,0.0142,0.5851,4.3174,1.3174,0.6136,1.5264,0.0092,0.0108,0.0073,0.0115,0.0113,0.0105,0.2549,-0.0192,-0.0278,-0.0226,-0.0268,0.0115,0.1825,0.0075,0.5019,-0.3265,0.0038,0.9292,-0.4981,-1.2268,-1.7081,-3.1132,0.0846,0.1227,-5.1661,-3.5621,-0.0373,-0.0106,0,-0.0022,-0.0023,0.0052,0.0461,0.0018,-0.0057,0.0014,-0.237497368407594,-0.149690902811781,-0.126202685492635,0.0011,1.381,3.4797,1.5528,0.3762,0.3331,0.6133,0,0.1823,-0.0269,-0.1476,-0.423,1.381,1.1393,1.703,0.1768,0.1384,0.2246,0.6071,0.8729,0.44,0.5385,0.36,0.5641,"Up"
"2018//4",-0.2533,0.1708,-3.2674,0.5242,0.1307,0.0089,-0.1454,-0.1741,-0.0554,9e-04,0.0108,0.5727,6.3717,3.3717,0.6015,3.7636,0.0072,0.0091,0.007,0.0086,0.0084,0.0077,0.1173,-0.0163,-0.0226,-0.016,-0.0186,0.0086,0.1365,0.0052,0.5048,-0.3015,0.0026,0.9551,-0.4952,-1.081,-2.0028,-2.2716,0.0484,0.0554,-4.8827,-4.267,-0.0329,-0.0064,0,-0.001,-0.0011,0.0051,0.0408,0.0014,-0.0037,0.0017,-0.205828546248946,-0.13815104797691,-0.118891257014923,-0.0015,0.4697,0.1833,0.4651,0.0767,-0.3228,0.2769,0.0294,0.1726,-0.1773,-1.0272,-0.9288,0.4697,5.4147,0.3356,0.1628,0.0473,0.1695,0.2887,0.6602,0.4,0.5312,0.3667,0.625,"Up"
"2019//1",0.67,0.2025,1.8034,0.2725,0.1031,0.0177,-0.1536,-0.2042,-0.085,0.0967,0.0128,1.4813,5.6906,2.6906,1.5546,3.0187,0.0068,0.013,0.0048,0.0061,0.0059,0.0052,0.0569,-0.0095,-0.0148,-0.0116,-0.0234,0.0061,0.0968,0.0038,1.2809,0.1756,0.0049,1.9616,0.2809,5.827,16.0708,13.3183,0.0152,0.0222,60.1645,41.1551,-0.0223,-0.0043,-0.0011,0.0027,0.0026,0.0048,0.049,0.0016,-6e-04,0.0059,0.113603678808111,0.124723486876901,0.0618166781288587,0.0024,0.8763,1.2044,0.3461,0.1704,0.8444,0.4128,8e-04,0.1848,0.8964,4.85,0.4703,0.8763,1.4545,0.8216,0.183,0.0836,0.2012,1.2948,0.225,0.5,0.6061,0.3333,0.7273,"Down"
"2019//2",-0.5557,0.2329,-3.6943,0.3374,0.1531,-0.0189,-0.1291,-0.0853,-0.0873,0.0884,0.0147,-0.3856,10.6216,7.6216,-0.4053,8.3905,0.011,0.0122,0.0138,0.0126,0.0124,0.0119,0.1969,-0.0225,-0.0414,-0.0255,-0.0463,0.0126,0.1999,0.0059,0.3619,-0.3012,0.0022,0.6031,-0.6381,-1.4884,-2.2443,-2.7557,0.0911,0.113,-4.8664,-3.9239,-0.0578,-0.0041,-0.0011,-0.0022,-0.0023,0.0013,0.0575,0.0019,-0.006,0.0016,-0.232717868368126,-0.134131916773557,-0.0738158436364716,-0.0018,0.6361,-0.2303,1.5826,0.0801,-0.3726,0.2831,0.0271,0.2266,-0.1671,-0.7374,-0.9259,0.6361,-0.4258,0.1386,0.2216,0.0659,0.2312,0.6202,1.0959,0.48,0.5556,0.32,0.6389,"Up"
"2019//3",0.3727,0.141,0.4818,0.2397,0.1283,0.042,-0.0341,0.1775,-0.0939,0.2244,0.0089,-1.5335,12.4513,9.4513,-1.6069,10.3191,0.0067,0.006,0.0089,0.0068,0.0066,0.0062,0.0619,-0.0092,-0.0191,-0.0148,-0.0379,0.0068,0.1074,0.0028,0.9615,-0.016,0.0027,0.8158,-0.0385,2.6998,7.0627,7.0435,0.0137,0.0211,31.8357,20.6167,-0.0438,-0.0013,0.0012,0.0015,0.0014,0.0051,0.0232,0.0011,-7e-04,0.0037,0.0303500817128428,0.0182276981188558,0.00710246803489279,0.0014,0.4689,0.8088,0.8914,0.0674,0.4243,0.2596,0.0368,0.1423,0.7024,4.9361,0.1274,0.4689,3.1524,0.6398,0.1351,0.0366,0.1399,0.7456,-0.1633,0.5714,0.3333,0.5,0.8333,"Up"
"2019//4",1.0917,0.3256,2.4164,0.2476,-0.281,-0.0295,0.2466,0.0307,-0.1745,0.0172,0.0205,0.965,6.8927,3.8927,1.0143,4.3369,0.0126,0.019,0.0132,0.0112,0.011,0.0105,0.1023,-0.0165,-0.0345,-0.0216,-0.0232,0.0112,0.1778,0.0051,1.5374,0.2451,0.0079,1.0681,0.5374,9.0151,17.8234,16.0758,0.0288,0.0413,63.364,44.1378,-0.054,-0.0049,0,0.0043,0.0041,0.0097,0.0759,0.0026,-9e-04,0.0096,0.152217811055983,0.144579339865432,0.134607282626371,0.0027,1.5562,1.7002,1.2121,0.3973,0.9819,0.6303,0,0.2632,1.3887,5.2753,0.6967,1.5562,1.5207,1.3569,0.2507,0.2053,0.324,1.6709,0.7532,0.6667,0.5172,0.4333,0.5862,"Down"
"2020//1",-1.6366,0.4261,-4.5563,0.2105,-0.2218,-0.0921,-0.07,0.0278,0.1637,0.1665,0.0268,-1.2137,4.8133,1.8133,-1.2737,2.0675,0.0219,0.0124,0.026,0.0256,0.0254,0.0248,0.3836,-0.0686,-0.0779,-0.0578,-0.0765,0.0256,0.406,0.013,0.3775,-0.316,0.0049,0.4427,-0.6225,-1.7028,-2.1466,-2.6075,0.1326,0.1823,-6.2235,-4.5261,-0.0948,-0.0099,-0.0012,-0.0065,-0.0069,0.0048,0.0378,0.0034,-0.0133,3e-04,-0.287016908468012,-0.133359257292441,-0.100756289163696,0.0019,1.6366,1.1689,1.8731,0.6154,0.6212,0.7845,0,0.2945,-0.1245,-0.4228,-0.5317,1.6366,1.9744,1.6815,0.2622,0.3342,0.4248,1.2091,1.3359,0.5789,0.6364,0.5263,0.4545,"Up"
"2020//2",0.2136,0.334,-0.2731,-0.0684,-0.0071,-0.1521,0.052,2e-04,-0.0588,0.898,0.021,0.3931,7.3455,4.3455,0.4136,4.8377,0.0142,0.0181,0.0158,0.0146,0.0144,0.0138,0.1681,-0.0285,-0.0502,-0.0293,-0.0365,0.0146,0.231,0.007,0.8941,-0.0508,0.0062,0.9314,-0.1059,0.6427,1.0251,1.2691,0.0896,0.1132,1.9056,1.5079,-0.0644,-0.0055,0,8e-04,6e-04,0.0092,0.0826,0.0027,-0.0046,0.0063,-0.0172005706901392,-0.0123731914410031,-0.00991430643331068,0.0014,1.2968,2.0487,0.8003,0.2806,0.4317,0.5297,0,0.2862,0.2226,0.7776,-0.1047,1.2968,-17.222,1.5041,0.2809,0.1769,0.332,1.277,0.9749,0.5,0.6,0.4,0.7,"Up"
"2020//3",0.3162,0.2597,0.0439,0.3641,0.1934,0.0385,-0.0598,-0.1403,-0.0173,0.0369,0.0164,-0.3707,6.3928,3.3928,-0.3884,3.7673,0.0117,0.0117,0.013,0.0119,0.0117,0.0111,0.1596,-0.0195,-0.0362,-0.026,-0.0442,0.0119,0.1882,0.0057,0.9413,-0.0281,0.0053,0.9182,-0.0587,1.2589,2.0479,2.567,0.0486,0.0639,6.685,5.0861,-0.0614,-0.0073,0.0013,0.0013,0.0011,0.0097,0.0535,0.002,-0.0028,0.0053,0.00276715294424148,0.00174089886751707,0.00102342332041937,0.0013,0.6711,0.9727,0.1637,0.1104,0.3957,0.3323,0.0068,0.2485,0.4945,1.9897,-0.0323,0.6711,-0.111,0.1881,0.243,0.0863,0.2579,1.5543,0.7905,0.6471,0.5333,0.5588,0.7,"Down"
"2020//4",-0.0921,0.1417,-2.8019,0.3624,0.0839,-0.1306,-0.1439,-0.1711,-0.2266,0.0069,0.0089,0.2103,3.8876,0.8876,0.2205,1.061,0.0061,0.0065,0.0059,0.0072,0.007,0.0063,0.0946,-0.0151,-0.0186,-0.0142,-0.0182,0.0072,0.1145,0.0043,0.5485,-0.2707,0.0024,0.7749,-0.4515,-0.4983,-1.0249,-1.2829,0.0511,0.0548,-1.9282,-1.7996,-0.0231,-0.0054,0,-4e-04,-4e-04,0.0041,0.0243,0.0011,-0.0026,0.0019,-0.176501684582513,-0.110658378182871,-0.0865619143039655,-0.001,0.5569,0.6488,0.5098,0.0964,-0.2196,0.3104,0.0125,0.1391,-0.1316,-0.9462,-0.6005,0.5569,0.5195,0.8864,0.1336,0.044,0.1407,0.2129,0.431,0.3824,0.5333,0.2353,0.6333,"Down"
